iata_code,iso_region,municipality,name,iso_country
WKK,US-AK,Aleknagik,Aleknagik / New Airport,US
HIR,SB-CT,Honiara,Honiara International Airport,SB
MUA,SB-WE,,Munda Airport,SB
PPE,MX-SON,Puerto Peñasco,Mar de Cortés International Airport,MX
INU,NR-14,Yaren District,Nauru International Airport,NR
BUA,PG-NSB,Buka Island,Buka Airport,PG
CMU,PG-CPK,Kundiawa,Chimbu Airport,PG
DAU,PG-WPD,Daru,Daru Airport,PG
GKA,PG-EHG,Goronka,Goroka Airport,PG
GUR,PG-MBA,Gurney,Gurney Airport,PG
PNP,PG-NPP,Popondetta,Girua Airport,PG
HKN,PG-WBK,Hoskins,Kimbe Airport,PG
KMA,PG-GPK,Kerema,Kerema Airport,PG
KVG,PG-NIK,Kavieng,Kavieng Airport,PG
MAG,PG-MPM,Madang,Madang Airport,PG
HGU,PG-WHM,Mount Hagen,Mount Hagen Kagamuga Airport,PG
MDU,PG-SHM,Mendi,Mendi Airport,PG
MAS,PG-MRL,Manus Island,Momote Airport,PG
LAE,PG-MPL,Lae,Nadzab Airport,PG
POM,PG-NCD,Port Moresby,Port Moresby Jacksons International Airport,PG
RAB,PG-EBR,Tokua,Tokua Airport,PG
VAI,PG-SAN,Vanimo,Vanimo Airport,PG
WBM,PG-EPW,,Wapenamanda Airport,PG
WWK,PG-ESW,Wewak,Wewak International Airport,PG
BCW,MZ-I,Benguera Island,Benguera Island Airport,MZ
JEG,GL-U-A,Aasiaat,Aasiaat Airport,GL
UAK,GL-U-A,Narsarsuaq,Narsarsuaq Airport,GL
GOH,GL-U-A,Nuuk,Godthaab / Nuuk Airport,GL
SFJ,GL-U-A,Kangerlussuaq,Kangerlussuaq Airport,GL
THU,GL-U-A,Thule,Thule Air Base,GL
AEY,IS-6,Akureyri,Akureyri Airport,IS
EGS,IS-7,Egilsstaðir,Egilsstaðir Airport,IS
HFN,IS-8,Höfn,Hornafjörður Airport,IS
HZK,IS-6,Húsavík,Húsavík Airport,IS
IFJ,IS-4,Ísafjörður,Ísafjörður Airport,IS
KEF,IS-2,Reykjavík,Keflavik International Airport,IS
RKV,IS-1,Reykjavik,Reykjavik Airport,IS
PRN,XK-01,Prishtina,Priština International Airport,XK
BGK,BZ-SC,Big Creek,Big Creek Airport,BZ
CUK,BZ-BZ,Caye Caulker,Caye Caulker Airport,BZ
CYC,BZ-BZ,Caye Chapel,Caye Chapel Airport,BZ
CZH,BZ-CZL,Corozal,Corozal Municipal Airport,BZ
DGA,BZ-SC,Dangriga,Dangriga Airport,BZ
PLJ,BZ-SC,Placencia,Placencia Airport,BZ
PND,BZ-TOL,Punta Gorda,Punta Gorda Airport,BZ
SJX,BZ-CZL,Sartaneja,Sartaneja Airport,BZ
SPR,BZ-CY,San Pedro,San Pedro Airport,BZ
TZA,BZ-BZ,Belize City,Belize City Municipal Airport,BZ
,CA-U-A,,Cyll,CA
ZQZ,CN-13,Zhangjiakou,Zhangjiakou Ningyuan Airport,CN
BSD,CN-53,,Baoshan Yunduan Airport,CN
LNJ,CN-53,Lincang,Lintsang Airfield,CN
RKZ,CN-54,Xigazê,Shigatse Air Base,CN
PZI,CN-51,Panzhihua,Bao'anying Airport,CN
FUO,CN-44,Foshan,Foshan Shadi Airport,CN
HUZ,CN-44,Huizhou,Huizhou Airport,CN
JGS,CN-36,Ji'an,Jinggangshan Airport,CN
AEB,CN-45,Baise,Baise Youjiang Airport,CN
AAT,CN-65,Altay,Altay Air Base,CN
THQ,CN-62,Tianshui,Tianshui Maijishan Airport,CN
YZY,CN-62,Zhangye,Zhangye Ganzhou Airport,CN
